song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa","edm, pop","Electronic, Pop",96 Months,2024-08-08,76dIZzTdrNO15mGBrU3MHi,75584767,"7CajNmpbOovFoOoasH2HaY, 6M2wZ9GZgrQXHCFfjv46we"
Running Up That Hill (A Deal With God),Kate Bush,"art pop, baroque pop, art rock","Pop, Rock",Hounds Of Love,1985-00-00,75FEaRjZTKLhTrFGsfMUXR,26488742,1aSxMhuvixZ8h9dK9jIDwL
Shirt,SZA,r&b,R&B,SOS,2022-12-09,2wSTnntOPRi7aQneobFtU4,80031358,7tYKF4w9nC0nq9CsPZTHyP
I Gotta Feeling,Black Eyed Peas,,,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],2009-01-01,4kLLWz7srcuLKA7Et40PQR,3516465,1yxSLGMDHlW21z4YXirZDS
PUNTO G,Quevedo,reggaeton,Latin,DONDE QUIERO ESTAR,2023-01-20,4WiQA1AGWHFvaxBU6bHghs,236784360,52iwsT98xCoGgiGntTiR7K
Sure Thing,Miguel,r&b,R&B,All I Want Is You,2010-11-26,0JXXNGljqupsJaZsgSbMZV,557508892,360IAlyVv4PCEVjgyMZrxK
PUNTO 40,"Rauw Alejandro, Baby Rasta","reggaeton, urbano latino, trap latino, latin",Latin,SATURNO,2023-01-24,4UGqAW9i7NtE5mW9xzm6yk,45768825,"1mcTU81TzQhprhouKaTkpq, 0GgyFUpOyzWDRDqx8FCTDN"
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"Jung Kook, BTS, FIFA Sound","k-pop, ",Pop,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2022-11-20,1RDvyOk4WtPCtoqciJwVn8,54502277,"6HaGTQPmzraVmaVxvz6EUc, 3Nrfpe0tUJi4K4DXYWgMUX, 5C01hDqpEmrmDfUhX9YWsH"
Dandelions,Ruth B.,,,Safe Haven,2017-05-05,2eAvDnpXP5W0cVtiI0PUxV,504185578,2WzaAvm2bBCf4pEhyuDgCY
I Was Never There,"The Weeknd, Gesaffelstein",,,"My Dear Melancholy,",2018-03-30,1cKHdTo9u0ZymJdPGSh6nq,192496212,"1Xyo4u8uXC1ZmMpatF05PJ, 3hteYQFiMFbJY7wS0xDymP"
Shinunoga E-Wa,Fujii Kaze,j-pop,Pop,HELP EVER HURT NEVER,2020-05-20,0o9zmvc5f3EFApU52PPIyW,95105348,6bDWAcdtVR3WHz2xtiIPUi
Sunroof,"Nicky Youre, hey daisy",,,Good Times Go,2023-06-09,5YqEzk3C5c3UZ1D5fJUlXA,102736638,"7qmpXeNz2ojlMl2EEfkeLs, 38PzLQE4GW8o7A18oGhi0x"
Besos Moja2,"Wisin & Yandel, ROSALÍA","reggaeton, urbano latino, latin",Latin,La Última Misión,2022-12-01,6OzUIp8KjuwxJnCWkXp1uL,81571662,"1wZtkThiXbVNtj6hee6dz9, 7ltDVBr6mKbRvohxheJ9h1"
Kiss Me More (feat. SZA),"Doja Cat, SZA",r&b,R&B,Planet Her,2021-06-25,3DarAbFujv6eYNliUTyqtz,2648626,"5cj0lLjcoR7YOSnhnX0Po5, 7tYKF4w9nC0nq9CsPZTHyP"
ANTIFRAGILE,LE SSERAFIM,k-pop,Pop,UNFORGIVEN,2023-05-01,0bMoNdAnxNR0OuQbGDovrr,80298039,4SpbR6yFEvexJuaBpgAU5p
505,Arctic Monkeys,"indie, garage rock",Rock,Favourite Worst Nightmare (Standard Version),2007-04-24,58ge6dfP91o9oXMzq3XkIS,480434786,7Ln80lUS6He07XvHI8qqHH
Qué Agonía,"Yuridia, Ángela Aguilar","latin pop, mariachi, ranchera, banda, música mexicana","Latin, Pop",Pa' Luego Es Tarde,2022-10-20,4H6o1bxKRGzmsE0vzo968m,76672748,"5B8ApeENp4bE4EE3LI8jK2, 3abT87tqQ4Q5PA5nw6CYyH"
LA CANCIÓN,"J Balvin, Bad Bunny","reggaeton, latin, trap latino, urbano latino",Latin,OASIS,2019-06-28,0fea68AdmYNygeTGI4RC18,97476295,"1vyhD5VmyZ7KMfW5gqLgo5, 4q3ewBCX7sLwd24euuV69X"
Lavender Haze,Taylor Swift,,,Midnights,2022-10-21,5jQI2r1RdgtuT8S3iG8zFC,231401402,06HL4z0CvFAxyc27GXpf02
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"The Weeknd, Ariana Grande",pop,Pop,After Hours (Deluxe),2020-03-20,1oFAF1hdPOickyHgbuRjyX,151023598,"1Xyo4u8uXC1ZmMpatF05PJ, 66CXWjxzNUsdJxJ2JdwvnR"
Calm Down,Rema,"afrobeats, afrobeat, afropop, afropiano","Traditional music, R&B, Pop",Rave & Roses,2022-03-24,3BnDvpeuGOj21Ir2aVEtQo,92063066,46pWGuE3dSwY3bMMXGBvVS
Gangsta's Paradise,"Coolio, L.V.","west coast hip hop, g-funk, new jack swing","Hip Hop, R&B",Gangsta's Paradise,1995-11-07,1DIXPcTDzTj8ZMHt3PDt8p,109101910,"3y24n3XhZ96wgwRXjvS17T, 2LhsePRtgCo4THVKULQBL7"
Shut Down,BLACKPINK,k-pop,Pop,BORN PINK,2022-09-15,7gRFDGEzF9UkBV233yv2dc,144881658,41MozSoPIsD1dJM0CLPjZF
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,,,Voulez-Vous,1979-00-00,3vkQ5DAB1qQMYO4Mr9zJN6,3086863,0LcJLqbBmaGUft1e9Mm8HV
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,,,Whitney,1987-06-02,2tUBqZG2AbRi7Q0BIrVrEj,3230486,6XpaIBNiVzIetEPCWDvAFP
VISTA AL MAR,Quevedo,reggaeton,Latin,DONDE QUIERO ESTAR,2023-01-20,5q86iSKkBtOoNkdgEDY5WV,95635284,52iwsT98xCoGgiGntTiR7K
Low,SZA,r&b,R&B,SOS,2022-12-09,2GAhgAjOhEmItWLfgisyOn,139387778,7tYKF4w9nC0nq9CsPZTHyP
Super Freaky Girl,Nicki Minaj,,,Queen Radio: Volume 1,2022-08-26,2yjlYDiNiQkdxVqTlaSrlX,27351005,0hCNtLu0JehylgoiP8L4Gh
Watermelon Sugar,Harry Styles,,,Fine Line,2019-12-13,6UelLqGlWMcVH1E5c4H7lY,346791959,6KImCVD70vtIoJWnq6nGn3
Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,"piseiro, forró, arrocha, funk de bh, funk","Country, R&B, R&b",Novinha do Onlyfans (Tchan Ran Tchan Tchan),2022-10-14,0oB3IBEhbmgTrL7mV0VnFq,1137868,57VQCKnZ9nhS7bvoviXuZK
Viva La Vida,Coldplay,,,Viva La Vida or Death and All His Friends,2008-06-06,1mea3bSkSGXuIRvnydlB5b,540593305,4gzpq5DPGxSnKTe4SA8HAU
Mr. Brightside,The Killers,alternative rock,Rock,Hot Fuss,2004-00-00,003vvx7Niy0yvhvHt4a68B,7993674,0C0XlULifJtAgn6ZNCW2eu
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS","soft pop, pop, k-pop",Pop,CHARLIE,2022-10-06,5Odq8ohlgIbQKMZivbWkEo,222017848,"6VuMaDnrHyPL1p4EHjYLi7, 6HaGTQPmzraVmaVxvz6EUc, 3Nrfpe0tUJi4K4DXYWgMUX"
Late Night Talking,Harry Styles,,,Harry's House,2022-05-20,1qEmFfgcLObUfQm0j1W2CK,160181980,6KImCVD70vtIoJWnq6nGn3
Assunto Delicado - Ao Vivo,"Guilherme & Benuto, Xand Avião","sertanejo, sertanejo universitário, agronejo, arrocha, piseiro, forró, brega","Country, Latin",Assunto Delicado (Ao Vivo),2022-08-18,3yHXEidSu4gYVRqKoI653O,1104729,"6m6e7D2TnV0aYMllFFwMxu, 43DRDu6nLSeIedZ7T1A616"
Without Me,Eminem,"rap, hip hop",Hip Hop,The Eminem Show,2002-05-26,7lQ8MOhq6IN2w8EYcFNSUk,482040139,7dGJo4pcD2V6oG8kP0tJRR
