spotify_track_id,song_name,artist_names,artist_ids,yearly_streams,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
6cFW2FPaUL4YRJfS9zFJaV,Dois Tristes - Ao Vivo,Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,1513063,"Country, Latin","sertanejo, sertanejo universitário, forró, piseiro, agronejo, arrocha",Simone Mendes - Só Hits,2024-04-04,UME - Global Clearing House,2024-04-04,day,album
3w392XWJ5bXzjcCR2Dmvqn,Foi Intenso - Ao Vivo,"Zé Neto & Cristiano, Ana Castela","487N2T9nIPEHrlTZLL3SQs, 2CKOmarVWvWqkNWUatHCex",1379505,"Country, Latin","sertanejo, sertanejo universitário, arrocha, agronejo, piseiro",Foi Intenso (Ao Vivo),2024-05-01,Som Livre,2024-05-01,day,single
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - 2005 Remaster,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']","['0NKDgy9j66h3DLnN8qu1bB', '5MspMQqdVbdwP6ax3GXqum', '7gcCQIlkkfbul5Mt0jBQkg']",38765307,"Rock, Pop","new wave, synthpop, ",Sweet Dreams (Are Made Of This),1983-01-04,RCA Records Label,1983-01-04,day,album
6YUTL4dYpB9xZO5qExPf05,Summer,['Calvin Harris'],['7CajNmpbOovFoOoasH2HaY'],43672701,Electronic,edm,Motion,2014-10-31,Columbia,2014-10-31,day,album
7BKLCZ1jbUBVqRi2FVlTVw,Closer,"['The Chainsmokers', 'Halsey']","['69GGBxA162lTqCwzJG5jLp', '26VFTg2z8YR0cCuwLzESi2']",23268425,,,Closer,2016-07-29,Disruptor Records/Columbia,2016-07-29,day,single
4PMqSO5qyjpvzhlLI5GnID,Good Days,['SZA'],['7tYKF4w9nC0nq9CsPZTHyP'],1204696,R&B,r&b,SOS,2022-12-09,Top Dawg Entertainment/RCA Records,2022-12-09,day,album
3Vp4B9KshEPy72bwY0NJks,Tell Ur Girlfriend,Lay Bankz,4OVbrPbhvK46A1uXTU1u5F,24590401,Pop,jersey club,After 7,2024-05-27,"Artist Partner Group, Inc.",2024-05-27,day,album
6i8MbzVn4nzyjUcSoVcz7B,Armageddon,aespa,6YVMFz59CuY7ngCxTxjpxE,48186343,Pop,k-pop,Armageddon - The 1st Album,2024-05-27,SM Entertainment,2024-05-27,day,album
19D8LNpWwIPpi6hs9BG7dq,Bubble Gum,NewJeans,6HvZYsbFfjnjFrWF950C9d,1217473,Pop,k-pop,How Sweet,2024-05-24,ADOR,2024-05-24,day,single
4sgMbwl9lXGyHcHmtFYGMm,Supernova,aespa,6YVMFz59CuY7ngCxTxjpxE,62506997,Pop,k-pop,Armageddon - The 1st Album,2024-05-27,SM Entertainment,2024-05-27,day,album
4yyCGGdTVaYG17vhsrUPoL,APAGA EL CEL,"FloyyMenor, Lewis Somes","7CvTknweLr9feJtRGrpDBy, 6U574RAq08wVaurzSaqEY3",105737829,"Hip Hop, Latin","reggaeton chileno, chilean trap",APAGA EL CEL,2024-05-17,FloyyMenor under exclusive license to UnitedMasters LLC,2024-05-17,day,single
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,27389936,Rock,"funk rock, alternative rock, rock",By the Way (Deluxe Edition),2002-07-09,Warner Records,2002-07-09,day,album
6hNREzgHbVM5AkGwP4SPmU,FALTA DE QUÊ?,"Luan Pereira, Murilo Huff","5kVgcCdPbeUwxBqWxi2Ktl, 3hq7WoPJsrRP0KMSLhUgRz",5412942,"Country, Latin","agronejo, sertanejo, sertanejo universitário, piseiro, arrocha",FALTA DE QUÊ?,2024-05-16,Som Livre,2024-05-16,day,single
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,5eAWCfyUhZtHHtBdNk56l1,9189430,"Metal, Rock","nu metal, metal, alternative metal, rap metal, rock",Toxicity,2001-09-04,American/Columbia,2001-09-04,day,album
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,7dGJo4pcD2V6oG8kP0tJRR,224091036,Hip Hop,"rap, hip hop",Houdini,2024-05-31,Shady/Aftermath/Interscope Records,2024-05-31,day,single
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,3y2cIKLjiOlp1Np37WiUdH,766864446,,,"Where I've Been, Isn't Where I'm Going",2024-05-31,American Dogwood / EMPIRE,2024-05-31,day,album
33Nj9AdncSmHbCN3QeSZTL,Volver Al Futuro,"Oscar Maydon, Junior H","3l9G1G9MxH6DaRhwLklaf5, 7Gi6gjaWy3DxyilpF1a8Is",108544664,Latin,"corridos tumbados, corrido, corridos bélicos, electro corridos, sad sierreño, banda, música mexicana, sierreño",Volver Al Futuro,2024-05-30,Rancho Humilde,2024-05-30,day,single
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],104955964,Rock,"rock, hard rock, classic rock, rock and roll",Back In Black,1980-07-25,Columbia,1980-07-25,day,album
2kQuhkFX7uSVepCD3h29g5,Smack That,"Akon, Eminem","0z4gvV4rjIZ9wHck67ucSV, 7dGJo4pcD2V6oG8kP0tJRR",6673913,Hip Hop,"rap, hip hop",Konvicted,2006-01-01,Konvict/Upfront/SRC/Universal Records,2006-01-01,day,album
68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),"['Charlie Puth', 'Selena Gomez']","['6VuMaDnrHyPL1p4EHjYLi7', '0C8ZW7ezQVs4URX5aX7Kqx']",17033709,Pop,"soft pop, pop",Nine Track Mind,2015-11-05,Artist Partner,2015-11-05,day,album
