song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
Telepathy,BTS,k-pop,Pop,BE,2020-11-20,2FVpOsjT1iquZ3SpCjZ9Ne,BIGHIT MUSIC / HYBE,QMFME2038760,25064170,3Nrfpe0tUJi4K4DXYWgMUX
Prisoner (feat. Dua Lipa),"Miley Cyrus, Dua Lipa",pop,Pop,Prisoner (feat. Dua Lipa),2020-11-20,5JqZ3oqF00jkT81foAFvqg,RCA Records Label,USRC12003364,21119184,"5YGY8feqx7naU7z4HrwZM6, 6M2wZ9GZgrQXHCFfjv46we"
Dis-ease,BTS,k-pop,Pop,BE,2020-11-20,54DmTIv86D3sYdiawjULQ0,BIGHIT MUSIC / HYBE,QMFME2038761,22042721,3Nrfpe0tUJi4K4DXYWgMUX
Stay,BTS,k-pop,Pop,BE,2020-11-20,3ndCsZfq8OVwwkz9mmZvUz,BIGHIT MUSIC / HYBE,QMFME2038765,21601615,3Nrfpe0tUJi4K4DXYWgMUX
Skit,BTS,k-pop,Pop,BE,2020-11-20,4GVwjLRT7oSsKby7Vy8EHr,BIGHIT MUSIC / HYBE,QMFME2038759,8392247,3Nrfpe0tUJi4K4DXYWgMUX
Baby (with J Balvin),"Sfera Ebbasta, J Balvin","italian trap, trap, reggaeton, latin","Hip Hop, Latin",Famoso,2020-11-20,4L5ZhW0VJeQ6je2iqvqZ4X,Universal Music Italia srL.,ITUM72001145,8049276,"23TFHmajVfBtlRx5MXqgoz, 1vyhD5VmyZ7KMfW5gqLgo5"
Abracadabra (feat. Future),"Sfera Ebbasta, Future","italian trap, trap, rap",Hip Hop,Famoso,2020-11-20,0lSVjlxmAMSJGFSjVB1FtU,Universal Music Italia srL.,ITUM72001144,2680684,"23TFHmajVfBtlRx5MXqgoz, 1RyvyyTE3xzB2ZywiAwp0i"
Roses - Imanbek Remix,"SAINt JHN, Imanbek",slap house,Electronic,While The World Was Burning,2020-11-20,5f5tMrP3ZZbNtiLIHKOQLS,HITCO,RUB421901499,19510240,"0H39MdGGX6dbnnQPt6NQkZ, 5rGrDvrLOV2VV8SCFVGWlj"
Tik Tok (feat. Marracash & Guè Pequeno),"Sfera Ebbasta, Marracash, Guè","italian trap, trap",Hip Hop,Famoso,2020-11-20,11jGgkrtDbYaKlN0y1nPbC,Universal Music Italia srL.,ITUM72001148,3877006,"23TFHmajVfBtlRx5MXqgoz, 5AZuEF0feCXMkUCwQiQlW7, 7F2utINZ6tSokSiZTQBE27"
Macarena (feat. Offset),"Sfera Ebbasta, Offset","italian trap, trap, ",Hip Hop,Famoso,2020-11-20,1uPPyvMOaaVLnVcwD1Sp0d,Universal Music Italia srL.,ITUM72001146,2385360,"23TFHmajVfBtlRx5MXqgoz, 4DdkRBBYG6Yk9Ka8tdJ9BW"
Somebody’s Problem,Morgan Wallen,country,Country,Somebody’s Problem,2020-11-20,0SErdEdRcVX1uJCf1eTGYH,Loud / Republic,USUG12004195,5949178,4oUHIQIBe0LHzYfvXNW4QM
Hollywood (feat. Diplo),"Sfera Ebbasta, Diplo","italian trap, trap, moombahton","Hip Hop, Electronic",Famoso,2020-11-20,4CvW0iHAs7yJhbpnJ3NSnS,Universal Music Italia srL.,ITUM72001156,2274614,"23TFHmajVfBtlRx5MXqgoz, 5fMUXHkw8R8eOP2RNVYEZX"
$€ Freestyle,Sfera Ebbasta,"italian trap, trap",Hip Hop,Famoso,2020-11-20,2j9wr1cxfYcMJoANfmoJA9,Universal Music Italia srL.,ITUM72001155,1326336,23TFHmajVfBtlRx5MXqgoz
Male,Sfera Ebbasta,"italian trap, trap",Hip Hop,Famoso,2020-11-20,5BxBGvLJdwBBjCYJRdezxM,Universal Music Italia srL.,ITUM72001149,1286253,23TFHmajVfBtlRx5MXqgoz
Gelosi,Sfera Ebbasta,"italian trap, trap",Hip Hop,Famoso,2020-11-20,1XemHzgHvdNVkOEnUZzNRN,Universal Music Italia srL.,ITUM72001151,1185801,23TFHmajVfBtlRx5MXqgoz
Giovani Re,Sfera Ebbasta,"italian trap, trap",Hip Hop,Famoso,2020-11-20,4TBp0V4Slb8emBDN8PWU3j,Universal Music Italia srL.,ITUM72001150,1180514,23TFHmajVfBtlRx5MXqgoz
