spotify_track_id,song_name,artist_names,artist_ids,all_time_streams,years_on_chart,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
3qIV7Rnj3ZxLs2JcLPUbFV,Kick It,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,788676,2019,,,7,2019-06-21,Columbia,2019-06-21,day,album
3qKCDFZp192KBEEtFj7fDa,CLOSE (feat. Travis Scott) - From SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Travis Scott","7iZtZyCzp3LItcw1wtPI3D, 1zNqQNIdeOUZHb8zbZRFMX, 7EEiVZvj6RCEtVX2F2pyxu, 0Y5tJX1MQlPlqiwlOH1tJY",2111933,2018,Hip Hop,rap,CLOSE (feat. Travis Scott),2018-04-18,Mike WiLL Made-It,2018-04-18,day,single
3qLwtC9jEWugjkzyZlYgeg,Test Me,The xx,3iOvXCl6edW5Um0fXEBRXy,420589,2017,,,I See You,2017-01-13,Young Turks Recordings,2017-01-13,day,album
3qM0vBxIe4VUbK0Z0smuVP,Medusa,"JHAYCO, Anuel AA, J Balvin","6nVcHLIgY5pE2YCl8ubca1, 2R21vXR83lH98kGeO99Y66, 1vyhD5VmyZ7KMfW5gqLgo5",52776270,2020,Latin,"reggaeton, trap latino, urbano latino, latin",Medusa,2020-02-05,N&E Entertainment LLC,2020-02-05,day,single
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,Drake,3TVXtAsR1Inumwj472S9r4,55028517,2018,Hip Hop,"rap, hip hop",Scorpion,2018-06-29,Cash Money/Drake LP6,2018-06-29,day,album
3qNTqHjFfyJzMgZoYcUqjV,Ocean,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,652567,2018,Hip Hop,rap,Rolling Papers 2,2018-07-13,Taylor Gang/Atlantic,2018-07-13,day,album
3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,"Eslabon Armado, Peso Pluma","0XeEobZplHxzM9QzFQWLiR, 12GqGscKJx3aE4t07u7eVZ",1654080053,"2023,2024",Latin,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos, electro corridos, banda",DESVELADO,2023-04-28,DEL Records,2023-04-28,day,album
3qT2eKpWNq5cze7kGGORDZ,DAS RENNEN,RIN,18ISxWwWjV6rPLoVCXf1dz,938639,2020,Hip Hop,"german hip hop, cloud rap",DAS RENNEN,2020-06-05,GOLD LEAGUE/DIVISION,2020-06-05,day,single
3qUdysxsu5FDvOl7nR5vln,PASATIEMPO,"Daddy Yankee, Myke Towers","4VMYDCV2IEDYJArk749S6m, 7iK8PXO48WeuP03g8YR51W",2469046,2022,Latin,"reggaeton, latin, trap latino, urbano latino",LEGENDADDY,2022-03-25,Republic Records,2022-03-25,day,album
3qXZqXGniqNt3PK2CBSZgM,Si La Calle Llama - Remix,"Eladio Carrion, Myke Towers","5XJDexmWFLWOkjOEjOVX3e, 7iK8PXO48WeuP03g8YR51W",56151886,2023,"Latin, Hip Hop","trap latino, urbano latino, trap, reggaeton",3MEN2 KBRN,2023-03-17,Rimas Entertainment LLC,2023-03-17,day,album
