artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Dalex,0KPX4Ucy9dk82uj4GpKesn,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['1Xnn1TPyr5h0hpRAT4B4EA']
Dalex,0KPX4Ucy9dk82uj4GpKesn,NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,2,"['1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
Dalex,0KPX4Ucy9dk82uj4GpKesn,Farruko,329e4yvIujISKGKz1BZZbO,2,"['1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['1Xnn1TPyr5h0hpRAT4B4EA']
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,2,"['1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
Lenny Tavárez,1pQWsZQehhS4wavwh7Fnxd,Farruko,329e4yvIujISKGKz1BZZbO,2,"['1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['1Xnn1TPyr5h0hpRAT4B4EA']
Farruko,329e4yvIujISKGKz1BZZbO,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['1Xnn1TPyr5h0hpRAT4B4EA']
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['1Xnn1TPyr5h0hpRAT4B4EA']
NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,Farruko,329e4yvIujISKGKz1BZZbO,3,"['0A37XY67wSdGqkGjtfW6aV', '1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,NATTI NATASHA,1GDbiv3spRmZ1XdM1jQbT7,2,"['1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,Farruko,329e4yvIujISKGKz1BZZbO,2,"['1Xnn1TPyr5h0hpRAT4B4EA', '1ndyl3wJCFs872XZ3ztPk6']"
LANY,49tQo2QULno7gxHutgccqF,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1,['4z1rk9qlsqhp5LJm5qvXZF']
Halsey,26VFTg2z8YR0cCuwLzESi2,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,1,['7BKLCZ1jbUBVqRi2FVlTVw']
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Calvin Harris,7CajNmpbOovFoOoasH2HaY,1,['76dIZzTdrNO15mGBrU3MHi']
Farruko,329e4yvIujISKGKz1BZZbO,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,1,['5iwz1NiezX7WWjnCgY5TH4']
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Sech,77ziqFxp5gaInVrF2lj4ht,2,"['4bTZeO72FwMa6wKOiqoynL', '6Y4PDQv4XjYjHLeLmvyOt0']"
SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Imanbek,5rGrDvrLOV2VV8SCFVGWlj,1,['0zLCBJZSiELJf02ucPP9wb']
Lexa,0jTDeBJQr3unrK29LklnAv,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['2bPtwnrpFNEe8N7Q85kLHw']
Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,Anitta,7FNnA9vBm6EKceENgCGRMb,2,"['0YqTL3nSL36OFdHwHoqCag', '2bPtwnrpFNEe8N7Q85kLHw']"
Rebecca,5MS6HieNmKxzkAM8amE8sr,Anitta,7FNnA9vBm6EKceENgCGRMb,1,['2bPtwnrpFNEe8N7Q85kLHw']
Lexa,0jTDeBJQr3unrK29LklnAv,Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,1,['2bPtwnrpFNEe8N7Q85kLHw']
Lexa,0jTDeBJQr3unrK29LklnAv,Rebecca,5MS6HieNmKxzkAM8amE8sr,1,['2bPtwnrpFNEe8N7Q85kLHw']
Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,Rebecca,5MS6HieNmKxzkAM8amE8sr,1,['2bPtwnrpFNEe8N7Q85kLHw']
Post Malone,246dkjvS1zLTtiykXe5h60,French Montana,6vXTefBL93Dj5IqAWq6OTv,1,['7ntUbTIwmwOD6ygCMRZT6e']
Cardi B,4kYSro6naA4h99UJvo89HB,French Montana,6vXTefBL93Dj5IqAWq6OTv,1,['7ntUbTIwmwOD6ygCMRZT6e']
Rvssian,1fctva4kpRbg2k3v7kwRuS,French Montana,6vXTefBL93Dj5IqAWq6OTv,1,['7ntUbTIwmwOD6ygCMRZT6e']
Post Malone,246dkjvS1zLTtiykXe5h60,Cardi B,4kYSro6naA4h99UJvo89HB,1,['7ntUbTIwmwOD6ygCMRZT6e']
Rvssian,1fctva4kpRbg2k3v7kwRuS,Post Malone,246dkjvS1zLTtiykXe5h60,1,['7ntUbTIwmwOD6ygCMRZT6e']
Rvssian,1fctva4kpRbg2k3v7kwRuS,Cardi B,4kYSro6naA4h99UJvo89HB,1,['7ntUbTIwmwOD6ygCMRZT6e']
Felipe Original,2Cra8I2P4OnMkVguqZRVwi,PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,1,['4lKuzrdZrJuCAedbIslF3A']
PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,JS o Mão de Ouro,7C7NNCiIFavKH6oDarjp0v,1,['4lKuzrdZrJuCAedbIslF3A']
Felipe Original,2Cra8I2P4OnMkVguqZRVwi,JS o Mão de Ouro,7C7NNCiIFavKH6oDarjp0v,2,"['4lKuzrdZrJuCAedbIslF3A', '5dKesZwp6deuhEeW8F1UEi']"
Drake,3TVXtAsR1Inumwj472S9r4,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,2,"['3Q4gttWQ6hxqWOa3tHoTNi', '6XHVuErjQ4XNm6nDPVCxVX']"
