artist_1,artist_2,count,song_ids
Travis Barker,XXXTENTACION,2,"['4zI04ezdmrN0lT2pHykYrd', '0T6RSXxFhW8dRTWHI604ld']"
Lil Yachty,Offset,2,"['3ALgsy4RtDm58xl3VNoSgZ', '3LR0t8XqZ1FUj6nj01sXN0']"
Bad Bunny,NATTI NATASHA,2,"['2iCOdoyDmWG3hWkbtH1KB2', '6U2NuJILEOEpW2tVCuqKHb']"
David Guetta,Martin Garrix,2,"['0OlnLZY4cmQzT6ZGttvWBM', '4aBYzs8RxZMuqyOanNlf8I']"
Young Stoner Life,Young Thug,2,"['0kCBorRrKZkSztd9m0QI3r', '3HxYOwZZHZn5mC1drqPQqR']"
Eminem,Jessie Reyez,2,"['09FfQO3PqHO4HIJL511Ksi', '4g32MdRoqwGKQd3NXIRhpU']"
6ix9ine,Anuel AA,2,"['4KkUjFkcQvGvWekl8RATDn', '0LQ1J0BCzA2qnAgp9MkkNE']"
Lil Wayne,XXXTENTACION,2,"['5BQrp63SHCVf4bzCzJePne', '3vWzyGTu6Ovo1GdrcJqH6e']"
6ix9ine,Tory Lanez,2,"['1Y500yrabUJY2mIQS3RDt4', '6Gy7rXB6Ku5vIWC7WGWsl3']"
Ozuna,Romeo Santos,2,"['7uYgVgRSgqluZclLS7wpp4', '1h9P5WJwyvK8OB7O2YiXgp']"
David Guetta,Sia,2,"['2ludbmtPoyCPe2K08fAlFl', '66BjcDhhwWCcQIBxHMpKXh']"
Bad Bunny,Ozuna,2,"['7rwX0O3RlxqqIjQM8evm5E', '3V8UKqhEK5zBkBb6d6ub8i']"
Bradley Cooper,Lady Gaga,2,"['2VxeLyX666F8uXCJ0dZF8B', '3DKpA54hrFIdPN6AtL9HXa']"
Kodak Black,Travis Scott,2,"['0FZ4Dmg8jJJAPJnvBIzD9z', '1HLL8X0LH20F6Z9SLXLIjr']"
Landon Cube,Lil Skies,2,"['2u7mxWSeoqTXndK5e08jMp', '3ZhTT6yjZwpPph5MIJ53XY']"
Future,Young Thug,2,"['3fFBZvG777xoKyvcrBq7lc', '6cPnE82DKBLd7sg02ZNg8K']"
Cardi B,Ozuna,2,"['2m2ZGfJcs3lHWNPzhWH3XH', '4w8niZpiMy6qz1mntFA5uM']"
The Greatest Showman Ensemble,Zendaya,2,"['43ay9lQZ5rfNcOOHhRF2cM', '5xNUR50KxswPRAvx7S163g']"
Gunna,Metro Boomin,2,"['1fewSx2d5KIZ04wsooEBOz', '3tkFCUaISwablf9MJydsuB']"
Keala Settle,Zendaya,2,"['43ay9lQZ5rfNcOOHhRF2cM', '5xNUR50KxswPRAvx7S163g']"
Hugh Jackman,Zendaya,2,"['43ay9lQZ5rfNcOOHhRF2cM', '5xNUR50KxswPRAvx7S163g']"
Hugh Jackman,Zac Efron,2,"['43ay9lQZ5rfNcOOHhRF2cM', '2cKovq3l6OJjhVVDbVKOsr']"
Metro Boomin,Swae Lee,2,"['6osMzmRHCVETbZMHceLRmh', '0McI9sOmkpfd4E72njtU0G']"
Hugh Jackman,Keala Settle,2,"['43ay9lQZ5rfNcOOHhRF2cM', '5xNUR50KxswPRAvx7S163g']"
Maluma,Shakira,2,"['6mICuAdrwEjh6Y6lroV2Kg', '7DrluKkTviBwCc8AV3VGmf']"
Chance the Rapper,DJ Khaled,2,"['3DXncPQOG4VBw3QHh3S817', '5WvAo7DNuPRmk4APhdPzi8']"
Chance the Rapper,Justin Bieber,2,"['3DXncPQOG4VBw3QHh3S817', '5WvAo7DNuPRmk4APhdPzi8']"
Metro Boomin,Young Thug,2,"['27P4XoNXXEV4lTc3sB61RK', '3tkFCUaISwablf9MJydsuB']"
Chance the Rapper,Quavo,2,"['3DXncPQOG4VBw3QHh3S817', '5WvAo7DNuPRmk4APhdPzi8']"
DJ Khaled,Justin Bieber,2,"['3DXncPQOG4VBw3QHh3S817', '5WvAo7DNuPRmk4APhdPzi8']"
Metro Boomin,Wizkid,2,"['0KPiSFlz5OUCgw7nwvhYWe', '0McI9sOmkpfd4E72njtU0G']"
DJ Khaled,Quavo,2,"['3DXncPQOG4VBw3QHh3S817', '5WvAo7DNuPRmk4APhdPzi8']"
Zac Efron,Zendaya,2,"['630sXRhIcfwr2e4RdNtjKN', '43ay9lQZ5rfNcOOHhRF2cM']"
Justin Bieber,Quavo,2,"['3DXncPQOG4VBw3QHh3S817', '5WvAo7DNuPRmk4APhdPzi8']"
Anuel AA,Daddy Yankee,2,"['59PYgzOiOjGDzjDT5N5oOX', '6MJUCumnQsQEKbCy28tbCP']"
