spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2021,Collaboration
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2022,Collaboration
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2023,Collaboration
3VTNVsTTu05dmTsVFrmGpK,Fairytale of New York (feat. Kirsty MacColl),"The Pogues,Kirsty MacColl","celtic rock, christmas, folk punk, celtic, ",Traditional music,If I Should Fall from Grace with God (Expanded Edition),04:32,297654594,2024,Collaboration
3Vp4B9KshEPy72bwY0NJks,Tell Ur Girlfriend,Lay Bankz,jersey club,Pop,After 7,02:04,24590401,2024,Solo
3VqeTFIvhxu3DIe4eZVzGq,Butter,BTS,k-pop,Pop,Butter,02:44,121839470,2021,Solo
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza,"reggaeton, urbano latino",Latin,Más Negro Que Rojo,03:06,330029766,2020,Solo
3VvA1wSxukMLsvXoXtlwWx,Hecha Pa' Mi,Boza,"reggaeton, urbano latino",Latin,Más Negro Que Rojo,03:06,330029766,2021,Solo
3W5KHP0Yr56ejVDns9vci3,Wish You The Best,Lewis Capaldi,soft pop,Pop,Wish You The Best,03:30,22992940,2023,Solo
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,"country, red dirt",Country,Something in the Orange,03:48,1176898694,2022,Solo
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,"country, red dirt",Country,Something in the Orange,03:48,1176898694,2023,Solo
3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,"country, red dirt",Country,Something in the Orange,03:48,1176898694,2024,Solo
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,"Charli xcx,Billie Eilish","hyperpop, art pop, ",Pop,Guess featuring billie eilish,02:23,246530214,2024,Collaboration
3WRIaWsws011vHMd9uzPjG,First Off (feat. Travis Scott),"Future,Travis Scott",rap,Hip Hop,Future Hndrxx Presents: The WIZRD,03:48,28728227,2019,Collaboration
3WUyu94psXrYV6HZbXgcFA,Rover,KAI,k-pop,Pop,Rover - The 3rd Mini Album,02:54,11151448,2023,Solo
3Wf2YGdYT8xVdNsQSoRKk9,Youth (feat. Khalid),"Shawn Mendes,Khalid","pop, ",Pop,Youth (feat. Khalid),03:09,34923455,2018,Collaboration
3X2r2CnHOJeV5YekPTgBnK,Straightenin,Migos,trap,Hip Hop,Straightenin,04:15,14332298,2021,Solo
