artist_name,artist_id,genres,num_hits,num_collab_hits
Pineapple StormTv,09U6hmCerKcIJrixubiBjm,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
Chris MC,0obu7Om4zu9ahul5DI4JtY,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
Salve Malak,7zxFc10N9BP2lg73b8cwZ0,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
Tz da Coronel,3lIU3RoZiHen1QXAQ3KQ9e,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
MC Cabelinho,1WQBwwssN6r8DSjUlkyUGW,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
Oruam,4yGgbQJMq9orWypwqtdzYT,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
N.I.N.A,32NfHH4nSmu97Z4RQjPyET,"brazilian hip hop, brazilian pop, brazilian trap, electronic, funk, funk carioca, funk consciente, funk pop, hip hop, latin, pop, r&b, trap, trap funk",1,1
Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,"pop, soft pop",1,1
Crush,6aLdhHUqgdKE86xbtNmY8g,"hip hop, k-ballad, k-pop, k-rap, pop",1,1
Pablito Pesadilla,41vcoPejPG3vv8emJ2R5Ox,"chilean mambo, chilean trap, guaracha, hip hop, latin, mambo, reggaeton chileno",1,1
Nickoog Clk,6rHwFb0YjWexAYxTjm4eIj,"chilean mambo, chilean trap, guaracha, hip hop, latin, mambo, reggaeton chileno",1,1
Fran C,5NenY2Jl9wwLRxf86go4Y8,"chilean mambo, chilean trap, guaracha, hip hop, latin, mambo, reggaeton chileno",1,1
Aitch,2PJEagPIxaBugeMjIyKVXF,"drill, electronic, german hip hop, grime, hip hop, pop, uk drill",1,1
BIA,6veh5zbFpm31XsPdjBgPER,"drill, electronic, german hip hop, grime, hip hop, pop, uk drill",1,1
Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,"banda, corrido, corridos bélicos, corridos tumbados, cumbia norteña, electro corridos, grupera, latin, música mexicana, norteño, ranchera, sad sierreño, sierreño, tejano",4,2
Rosa Walton,1X0HaTcdkHW7LviblBiEeq,,1,1
Hallie Coggins,5JNkPX6dYGLeEm4cUjHNGc,,1,1
Dedublüman,5PRW6j58xEEWL4DDVEITKT,"arabesk, pop, turkish pop",1,1
Mavzer Tabancas,7vyG44Uv5jGIwwm2Ha0nE0,"arabesk, pop, turkish pop",1,1
Paramore,74XFHRwlV6OrjEM0A2NCMF,"emo, emo pop, pop, pop punk, rock",1,0
Dina Rae,5jNmxPYz8QE5rYp4GDil8t,"hip hop, rap",1,1
Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,"latin, reggaeton, urbano latino",1,1
Yohani,6hyCmqlpgEhkMKKr65sFgI,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Jubin Nautiyal,1tqysapcCh1lWEAc9dIFpa,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Tanishk Bagchi,4f7KfxeHq9BiylGmyXepGt,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Rashmi Virag,5r2baeTwcCJnuIsDIlxUJo,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Surya Ragunaathan,0GiAC4VvvYCypjRH6IiasK,"bhajan, bollywood, desi, desi pop, devotional, hindi pop, hip hop, new age, pop",1,1
Stars Music Chile,2NZD6Gqfk60GEcAAnJKVsR,"argentine trap, chilean mambo, chilean trap, hip hop, latin, mambo, reggaeton, reggaeton chileno, rkt, trap, trap latino",2,2
Standly,0rjms710nwQTdrQheXHJfz,"argentine trap, chilean mambo, chilean trap, hip hop, latin, mambo, reggaeton, reggaeton chileno, rkt, trap, trap latino",2,2
Gustavo Mioto,1X6ORK7IekgmyjV6IFPszP,"agronejo, arrocha, country, forró, latin, piseiro, sertanejo, sertanejo universitário",1,1
Baby Rasta,0GgyFUpOyzWDRDqx8FCTDN,"latin, reggaeton, trap latino, urbano latino",1,1
Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,"electronic, tropical house",1,1
southstar,1GVuCyb4PlArufUZDUnRQi,"hip hop, techno",1,0
Lil Yachty,6icQOAFXDZKsumw3YXyusw,,1,0
Kenshi Yonezu,1snhtMLeb2DYoMOcVbb8iB,"anime, j-pop, j-rock, pop, rock",1,0
blink-182,6FBDaR13swtiWwGhX1WQsP,"emo, emo pop, metal, pop, pop punk, punk, rock, skate punk",1,0
Nardo Wick,0Njy6yR9LykNKYg9yE23QN,,1,1
Hotel Ugly,35WVTyRnKAoaGExqgktVyb,,1,0
Mark Morrison,6V3F8MZrOKdT9fU686ybE9,,1,1
Sickick,3NR7hAacOhmcztWvD7vJfS,,1,1
Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,"agronejo, arrocha, country, latin, piseiro, sertanejo, sertanejo universitário",1,1
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"christmas, country, jazz",4,1
Cults,3Oim8XBPbznAa8Jj8QzNc8,,1,0
Peter Fox,6rqlONGmPuP2wJVSfliLBI,"german pop, pop",1,1
Inéz,6zBax4hSAI1BJYgwF61EP5,"german pop, pop",1,1
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"edm, electronic",5,1
Jin,5vV3bFXnN6D6N3Nj4xRvaV,"k-pop, pop",2,0
Disney Characters,6utdPEv71mR0DnGp74cJIz,,1,0
Ray Parker Jr.,0NyzfcGDZZ6GM25EBG9BYK,,1,0
Bobby (Boris) Pickett,42MRYPhQfcEXqb18dl5ERX,,1,1
The Crypt-Kickers,4frDtYgwXXKkbyQzjOmJG5,,1,1
AC/DC,711MCceyCBcFnzjGY4Q7Un,"classic rock, hard rock, rock, rock and roll",1,0
Tiago Doidão,6JyfXyzoX303xiXFwhT9Za,,1,1
Juliano Maderada,72DK3UxDm7IOR9jCwnZKEz,,1,1
Andrew Gold,5fmvGUlMVgmnCn45f1he7d,,1,0
Rockwell,3xs0LEzcPXtgNfMNcHzLIP,,1,0
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,,1,0
Eurythmics,0NKDgy9j66h3DLnN8qu1bB,"new wave, pop, rock, synthpop",1,1
Annie Lennox,5MspMQqdVbdwP6ax3GXqum,"new wave, pop, rock, synthpop",1,1
Dave Stewart,7gcCQIlkkfbul5Mt0jBQkg,"new wave, pop, rock, synthpop",1,1
Rick James,0FrpdcVlJQqibaz5HfBUrL,"disco, funk, motown, r&b",1,0
Screamin' Jay Hawkins,3VBpsrUi2vV7Uj87ONHu7Z,,1,0
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,"christmas, jazz",4,0
ThxSoMch,4MvZhE1iuzttcoyepkpfdF,,1,0
paopao,5AS4y4rlmbUYDCdg35qmI9,"latin, latin r&b, r&b, reggaeton, trap latino, urbano latino",1,1
YOVNGCHIMI,4aSlfXDn9R60UlbZEboBUy,"hip hop, latin, reggaeton, trap, trap latino, urbano latino",1,1
TWISTED,1rPf3UFQ9PzH7MafzfHTnG,"drift phonk, electronic, hip hop, phonk",1,1
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,"classic rock, rock",1,0
Isabel LaRosa,5arKwJZEvT5uKq4o0JfqR4,,2,0
Yuridia,5B8ApeENp4bE4EE3LI8jK2,"banda, latin, latin pop, mariachi, música mexicana, pop, ranchera",1,1
Ángela Aguilar,3abT87tqQ4Q5PA5nw6CYyH,"banda, latin, latin pop, mariachi, música mexicana, pop, ranchera",1,1
