Artist,Genres,num_hits,num_collab_hits
Kyla,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, hip hop, pop, r&b, rap, traditional music",1,1
Guilherme & Benuto,"agronejo, arrocha, country, forró, latin, piseiro, sertanejo, sertanejo universitário",1,1
The Police,,1,0
The Walters,,1,0
J. Cole,"alternative r&b, crunk, drill, east coast hip hop, electronic, grime, hip hop, neo soul, pop, r&b, rap, southern hip hop, trap, uk drill",16,8
Lady Gaga,"art pop, pop",4,1
Rauw Alejandro,"afro soul, afrobeat, afrobeats, afropiano, afropop, bachata, bachata pop, hip hop, italo dance, latin, latin pop, latin r&b, pop, r&b, reggaeton, traditional music, trap, trap latino, urbano latino",20,12
Keane,,1,0
Paul Russell,,1,0
Frank Ocean,,3,0
Lana Del Rey,,5,2
Darell,"dembow, latin, reggaeton, trap latino, urbano latino",1,0
Big One,"argentine trap, cuarteto, cumbia, hip hop, latin",3,3
FMK,"argentine trap, cuarteto, cumbia, hip hop, latin",1,1
Ke Personajes,"argentine trap, banda, corrido, corridos bélicos, corridos tumbados, cuarteto, cumbia, cumbia norteña, grupera, hip hop, latin, música mexicana, norteño, tejano, urbano latino",3,3
LE SSERAFIM,"k-pop, pop",6,0
Creedence Clearwater Revival,"classic rock, country rock, rock, southern rock",2,0
Ariana Grande,"art pop, christmas, classical, hyperpop, jazz, musicals, pop, r&b",30,11
Tony Camargo,"latin, música tropical",1,0
NewJeans,"k-pop, pop",4,0
Morgan Wallen,country,8,3
Whitney Houston,,2,0
Sophie Ellis-Bextor,,2,0
Hotel Ugly,,1,0
Dave,"drill, electronic, grime, hip hop, pop, uk drill",1,1
Central Cee,"drill, electronic, grime, hip hop, pop, rap, uk drill",4,4
Dwele,"hip hop, neo soul, r&b, rap, smooth r&b",1,1
Conan Gray,,1,0
Lil Tecca,"hip hop, melodic rap, rap",2,0
50 Cent,"east coast hip hop, hip hop",1,0
JVKE,,1,0
Avicii,"edm, electronic",1,0
Plan B,"latin, reggaeton",1,0
Luan Pereira,"agronejo, arrocha, brazilian funk, brazilian trap, country, electronic, funk, funk consciente, hip hop, latin, piseiro, r&b, sertanejo, sertanejo universitário, trap funk",7,7
Mc Daniel,"agronejo, brazilian funk, brazilian trap, country, electronic, funk, funk consciente, hip hop, latin, piseiro, r&b, sertanejo, sertanejo universitário, trap funk",2,2
Shakira,"latin, latin pop, pop, reggaeton, urbano latino",4,3
Khalid,,1,1
Journey,"album rock, classic rock, rock",1,0
Juice WRLD,"emo rap, hip hop, melodic rap, rap",12,4
Michael Jackson,,3,0
Adele,"pop, soft pop",5,0
Ed Sheeran,"pop, soft pop",5,1
Emilia,"argentine trap, brazilian pop, cumbia, cumbia sonidera, funk, funk carioca, funk pop, hip hop, latin, latin pop, pagode baiano, pop, r&b, rkt, salsa, trap, turreo, urbano latino",4,4
TINI,"afrobeat, afrobeats, afropiano, afropop, afroswing, argentine trap, dancehall, hip hop, latin pop, pop, r&b, traditional music",3,3
Ruth B.,,1,0
Coolio,"g-funk, hip hop, new jack swing, r&b, west coast hip hop",1,1
L.V.,"g-funk, hip hop, new jack swing, r&b, west coast hip hop",1,1
Nadhif Basalamah,"indonesian pop, malay, pop",1,0
Chencho Corleone,"latin, reggaeton, trap latino, urbano latino",1,1
Queen,"classic rock, glam rock, rock",2,0
Pusha T,"hip hop, rap",1,1
Uzielito Mix,"chilean mambo, chilean trap, electro corridos, hip hop, latin, mambo, reggaeton, reggaeton chileno, reggaeton mexa",1,1
Yeri Mua,"chilean mambo, chilean trap, electro corridos, hip hop, latin, mambo, reggaeton, reggaeton chileno, reggaeton mexa",1,1
El Jordan 23,"chilean mambo, chilean trap, electro corridos, hip hop, latin, mambo, reggaeton, reggaeton chileno, reggaeton mexa",1,1
Dj Kiire,"chilean mambo, chilean trap, electro corridos, hip hop, latin, mambo, reggaeton, reggaeton chileno, reggaeton mexa",1,1
Tory Lanez,,1,0
TV Girl,,3,0
