artist_name,artist_id,image_url
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD,https://i.scdn.co/image/ab6761610000e5ebb28ff26a8cba0079ec44e84e
El Chacal,1xFn1xod58AGaSZjrxdiXA,https://i.scdn.co/image/ab6761610000e5eb6cc0b99e68a34d5bae154582
Chino & Nacho,5NS0854TqZQVoRmJKSWtFZ,https://i.scdn.co/image/ab6761610000e5ebcd07df3b3284d11536a1b00b
Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2,https://i.scdn.co/image/ab6761610000e5ebeb1cd0996b2847abfdbb13f6
Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,https://i.scdn.co/image/ab6761610000e5eb631d71bf6442253811c1400d
Jon Bellion,50JJSqHUf2RQ9xsHs0KMHg,https://i.scdn.co/image/ab6761610000e5eb4edcc18be45e0af37bdb6886
Andy Grammer,2oX42qP5ineK3hrhBECLmj,https://i.scdn.co/image/ab6761610000e5ebdfa641458cddcca4325c6afa
Queen,1dfeR4HaWDbWqFHLkxsg1d,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982
Young Thug,50co4Is1HCEo8bhOyUWKpn,https://i.scdn.co/image/ab6761610000e5eb547d2b41c9f2c97318aad0ed
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
Vice,0q4NrXqJnc367PieejuROJ,https://i.scdn.co/image/ab6761610000e5eb13a4ecb26bc30db2098f09e8
Skizzy Mars,00Z3UDoAQwzvGu13HoAM7J,https://i.scdn.co/image/ab6761610000e5eb99b874c875c9ee177aff77dc
Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,https://i.scdn.co/image/ab6761610000e5eb15ad2860f59979308151bdc5
ROZES,6jsjhAEteAlY0vCiLvMLBA,https://i.scdn.co/image/ab6761610000e5eb41292a790af64cde13877762
Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9
Foster The People,7gP3bB2nilZXLfPHJhMdvc,https://i.scdn.co/image/ab6761610000e5eb22b8e662f0cfdddac8ab22bb
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,https://i.scdn.co/image/ab6761610000e5ebc3dc5429b676b16d451e5f77
Galantis,4sTQVOfp9vEMCemLw50sbu,https://i.scdn.co/image/ab6761610000e5eb7bda087d6fb48d481efd3344
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,https://i.scdn.co/image/ab6761610000e5ebeccc1cde8e9fdcf1c9289897
Flume,6nxWCVXbOlEVRexSbLsTer,https://i.scdn.co/image/ab6761610000e5ebdcbf7ddf047dd267e4de8978
kai,6xHUXzrfhFgnIv86EBR3Ml,https://i.scdn.co/image/ab6761610000e5eba29018c0516faaeeee23496f
Hook N Sling,3iN9k8uvm4WrgdlOigOH8D,https://i.scdn.co/image/ab6761610000e5eb0ca38f72316696365a5b3b5e
Macklemore,3JhNCzhSMTxs9WLGJJxWOY,https://i.scdn.co/image/ab6761610000e5eb488b3b242f97163a7f8e17b9
Ryan Lewis,4myTppRgh0rojLxx8RycOp,https://i.scdn.co/image/ab6761610000e5eb995bc0b7ca4dcbfe2adb7905
Macklemore & Ryan Lewis,6WLvgbfYXQPO396oJEYCsi,https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec
Ray Dalton,4e0nWw2r4BoQSKPQ2zpU13,https://i.scdn.co/image/ab6761610000e5ebea544db05af03e0f9addeb8d
Piso 21,4bw2Am3p9ji3mYsXNXtQcd,https://i.scdn.co/image/ab6761610000e5eb47256de3ea7bbaeac4bc1843
Hearts & Colors,3wjsrpfO6odEphTZWx45RQ,https://i.scdn.co/image/ab6761610000e5eba1da67d504402ebceda3a2bd
Andrelli,5M2y5A6d5QZjw9JeKClagC,https://i.scdn.co/image/ab6761610000e5eb606a1e8eb0899b300352c769
The Jackson 5,2iE18Oxc8YSumAU232n4rW,https://i.scdn.co/image/19f768d93f6c80f7d4ca5b906e1c0376a3704389
AJR,6s22t5Y3prQHyaHWUN1R1C,https://i.scdn.co/image/ab6761610000e5ebe65fa0329c232ac6f5040f80
Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,https://i.scdn.co/image/ab6761610000e5eb81eb936f95f4ed10b1e36997
KYLE,4qBgvVog0wzW75IQ48mU7v,https://i.scdn.co/image/ab6761610000e5ebeb77665897ce533f73f59bf6
Nause,4PVn1b2WnnXdq80C7uaZLZ,https://i.scdn.co/image/ab6761610000e5ebab76d02d0a7b86e7b3e4e971
Pretty Sister,4bvWFV51SAEocM22uiDOza,https://i.scdn.co/image/ab6761610000e5ebf7bd26b27ec749b09a5fba59
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,https://i.scdn.co/image/cf79bd3e5c787e2ec152eeb1ea5538b0d4cf1434
Tammi Terrell,75jNCko3SnEMI5gwGqrbb8,https://i.scdn.co/image/85df4af2833ce0f0fa25363c59c07e90a12c78d0
Kiiara,4u5smJBskI6Adzv08PuiUP,https://i.scdn.co/image/ab6761610000e5eb3a50ec3bc61d904970f4dd1b
Charly Black,5sK8BsvyDl4TFA6KaBf8or,https://i.scdn.co/image/ab6761610000e5eb9a2d905368962946b801cfd8
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,https://i.scdn.co/image/ab6761610000e5eb6c044c16a167a8b1ebcf5965
Nicky Jam,1SupJlEpv7RS2tPNRaHViT,https://i.scdn.co/image/ab6761610000e5eb4e0f64cf0dab523714a800a7
Thalia,23wEWD21D4TPYiJugoXmYb,https://i.scdn.co/image/ab6761610000e5ebada9b6cfaa2378c96c7a40c8
Trap Capos,2pQAUIesBqfT87PaM1ijtk,https://i.scdn.co/image/ab6761610000e5eb87dcdc83d51c31a100dd0acb
Noriel,3RtNN1VnooWEn3KQk03DUL,https://i.scdn.co/image/ab6761610000e5eb76986713496efc3717ce32ee
Bryant Myers,6w9ToX5slZ4uIdmD17hJ3c,https://i.scdn.co/image/ab6761610000e5eb27e96bc9bbb0c28566c5d788
Juhn,2LmcxBak1alK1bf7d1beTr,https://i.scdn.co/image/ab6761610000e5eb5bba439efe12092ca32bc68f
Flo Rida,0jnsk9HBra6NMjO2oANoPY,https://i.scdn.co/image/ab6761610000e5eb655ca8f3196953554b479452
Dante Klein,1b4DN8Vj0dnj5cceMFsRYN,https://i.scdn.co/image/ab6761610000e5ebdb6503ebec3b1bce1ea1bb6c
Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,https://i.scdn.co/image/ab6761610000e5eb105cc9628c315b29d299fbb4
